date,TRADE_WAR,FED_POLICY,FEAR_CRISIS,EARNINGS,EUPHORIA_MOMENTUM,GEOPOLITICAL,SECTOR_TRIGGER,ENERGY_COMMODITY,LABOR_CONSUMER,TRUMP_POLICY,CRYPTO_FINTECH,AMPLIFIER_MOD,bert_sentiment,finbert_sentiment,sp500_close,sp500_return,direction,oil_close,vix_close,target
2018-06-28,3,3,0,8,10,8,13,3,6,5,5,4,-0.19086008180271496,-0.014714390214822896,2716.31005859375,0.00617868985946779,Up,73.44999694824219,16.850000381469727,1
2018-06-29,3,10,1,4,12,1,9,6,5,9,5,4,-0.17352218934277583,-0.04641269921850642,2718.3701171875,0.0007584033300001014,Up,74.1500015258789,16.09000015258789,1
2018-07-02,4,5,2,8,11,6,12,5,6,10,4,8,-0.21178071725301903,-0.07805188884438333,2726.7099609375,0.003067957412152822,Up,73.94000244140625,15.600000381469727,1
2018-07-03,3,2,1,4,5,3,4,2,2,5,0,1,-0.1760622650674246,-0.017230381086034682,2713.219970703125,-0.00494735062681062,Down,74.13999938964844,16.139999389648438,0
2018-07-05,7,5,0,3,9,9,5,6,4,8,2,3,-0.18100828137891045,-0.10492140771660569,2736.610107421875,0.008620803683929923,Up,72.94000244140625,14.970000267028809,1
2018-07-06,4,0,1,6,6,8,6,4,7,8,2,3,-0.1612285964328087,-0.10310063098608716,2759.820068359375,0.008481281595267509,Up,73.80000305175781,13.369999885559082,1
2018-07-09,3,7,3,6,5,10,12,7,4,9,3,7,-0.14372124075889586,-0.06738712161450702,2784.169921875,0.008822985887663393,Up,73.8499984741211,12.6899995803833,1
2018-07-10,4,3,0,7,12,8,5,3,4,9,2,2,-0.035489808224342966,-0.04707555311757165,2793.840087890625,0.003473267180873929,Up,74.11000061035156,12.640000343322754,1
2018-07-11,6,4,4,3,9,12,5,3,1,12,3,7,-0.16552289591895208,-0.08945162556548085,2774.02001953125,-0.007094202866256172,Down,70.37999725341797,13.630000114440918,0
2018-07-12,2,14,1,12,6,14,8,4,5,11,5,5,-0.09239642775577048,-0.0808637109225175,2798.2900390625,0.008749042674663476,Up,70.33000183105469,12.579999923706055,1
2018-07-13,5,8,0,4,10,6,8,5,3,17,2,7,-0.16095014298573518,-0.03102793723332863,2801.31005859375,0.0010792374947172778,Up,71.01000213623047,12.180000305175781,1
2018-07-16,1,4,1,5,7,14,14,5,6,19,3,3,-0.26163933535068357,-0.11617618593338289,2798.429931640625,-0.001028135726814483,Down,68.05999755859375,12.829999923706055,0
2018-07-17,3,9,1,13,6,10,8,5,4,9,0,2,-0.07572707284096233,-0.00025510981252323316,2809.550048828125,0.00397369863071062,Up,68.08000183105469,12.0600004196167,1
2018-07-18,4,8,0,13,14,7,12,4,1,7,1,11,-0.047123631593343374,-0.014723814241084697,2815.6201171875,0.0021605126279586884,Up,68.76000213623047,12.100000381469727,1
2018-07-19,4,10,2,8,6,12,8,4,4,21,0,6,-0.08590375999125038,-0.1132924579992527,2804.489990234375,-0.003952993120479142,Down,69.45999908447266,12.869999885559082,0
2018-07-20,2,2,2,3,7,10,11,5,1,14,1,5,-0.22225893892510964,-0.12906989977307562,2801.830078125,-0.0009484477101494582,Down,70.45999908447266,12.859999656677246,0
2018-07-23,2,5,1,6,10,9,11,5,0,10,0,6,-0.26806639548270933,-0.11600774287456467,2806.97998046875,0.0018380494891383492,Up,67.88999938964844,12.619999885559082,1
2018-07-24,1,5,2,7,13,9,11,4,2,13,2,6,-0.15769985589114102,-0.011303217234936628,2820.39990234375,0.004780911145920941,Up,68.5199966430664,12.40999984741211,1
2018-07-25,1,4,4,15,7,10,7,7,3,10,2,6,-0.1416494300756505,-0.09003468735202674,2846.070068359375,0.009101605057599604,Up,69.30000305175781,12.289999961853027,1
2018-07-26,4,9,1,13,12,6,10,4,3,11,3,7,-0.11873338222503663,-0.04394399024842476,2837.43994140625,-0.0030322960242857855,Down,69.61000061035156,12.140000343322754,0
2018-07-27,2,3,0,6,11,10,6,6,7,9,0,3,-0.14929945256612073,-0.12192406638984708,2818.820068359375,-0.00656220869212365,Down,68.69000244140625,13.029999732971191,0
2018-07-30,3,2,3,7,5,10,5,4,5,6,0,2,-0.12764500774128337,-0.027686578667604586,2802.60009765625,-0.005754170294581917,Down,70.12999725341797,14.260000228881836,0
2018-07-31,4,12,4,5,6,4,7,9,10,8,1,2,-0.1058586202366814,-0.03545952840410758,2816.2900390625,0.004884728797982518,Up,68.76000213623047,12.829999923706055,1
2018-08-01,7,11,0,7,6,7,10,3,2,7,0,4,-0.20400763400562147,-0.03228689823055845,2813.360107421875,-0.0010403515262938923,Down,67.66000366210938,13.149999618530273,0
2018-08-02,4,7,0,15,7,12,7,4,0,8,0,7,-0.3008835627919152,-0.0627111657399428,2827.219970703125,0.004926444803381669,Up,68.95999908447266,12.1899995803833,1
